incident_id,year,stage,reason
568,2023,recall-screen,out-of-scope-type
571,2023,recall-screen,out-of-scope-type
572,2023,recall-screen,out-of-scope-type
574,2023,recall-screen,out-of-scope-type
575,2023,recall-screen,out-of-scope-type
576,2023,recall-screen,out-of-scope-type
577,2023,recall-screen,out-of-scope-type
579,2023,recall-screen,out-of-scope-type
580,2023,recall-screen,out-of-scope-type
581,2023,recall-screen,out-of-scope-type
582,2023,recall-screen,out-of-scope-type
586,2023,recall-screen,out-of-scope-type
587,2023,recall-screen,out-of-scope-type
588,2023,recall-screen,out-of-scope-type
589,2023,recall-screen,out-of-scope-type
591,2023,recall-screen,out-of-scope-type
599,2023,recall-screen,out-of-scope-type
600,2023,recall-screen,out-of-scope-type
601,2023,recall-screen,out-of-scope-type
602,2023,recall-screen,out-of-scope-type
608,2023,recall-screen,out-of-scope-type
612,2023,recall-screen,out-of-scope-type
613,2023,recall-screen,out-of-scope-type
616,2023,recall-screen,out-of-scope-type
618,2023,recall-screen,out-of-scope-type
627,2024,recall-screen,out-of-scope-type
629,2023,recall-screen,out-of-scope-type
633,2024,recall-screen,out-of-scope-type
635,2024,recall-screen,out-of-scope-type
637,2024,recall-screen,out-of-scope-type
644,2024,recall-screen,out-of-scope-type
646,2024,recall-screen,out-of-scope-type
663,2024,recall-screen,out-of-scope-type
672,2024,recall-screen,out-of-scope-type
681,2023,recall-screen,out-of-scope-type
684,2024,recall-screen,out-of-scope-type
690,2024,recall-screen,out-of-scope-type
691,2024,recall-screen,out-of-scope-type
696,2024,recall-screen,out-of-scope-type
699,2024,recall-screen,out-of-scope-type
706,2024,recall-screen,out-of-scope-type
708,2024,recall-screen,out-of-scope-type
710,2024,recall-screen,out-of-scope-type
718,2024,recall-screen,out-of-scope-type
721,2024,recall-screen,out-of-scope-type
723,2024,recall-screen,out-of-scope-type
724,2024,recall-screen,out-of-scope-type
725,2024,recall-screen,out-of-scope-type
727,2024,recall-screen,out-of-scope-type
728,2024,recall-screen,out-of-scope-type
733,2024,recall-screen,out-of-scope-type
738,2024,recall-screen,out-of-scope-type
740,2024,recall-screen,out-of-scope-type
746,2024,recall-screen,out-of-scope-type
747,2024,recall-screen,out-of-scope-type
749,2024,recall-screen,out-of-scope-type
752,2024,recall-screen,out-of-scope-type
753,2024,recall-screen,out-of-scope-type
758,2023,recall-screen,out-of-scope-type
761,2024,recall-screen,out-of-scope-type
767,2024,recall-screen,out-of-scope-type
774,2024,recall-screen,out-of-scope-type
775,2024,recall-screen,out-of-scope-type
780,2024,recall-screen,out-of-scope-type
785,2024,recall-screen,out-of-scope-type
788,2024,recall-screen,out-of-scope-type
789,2024,recall-screen,out-of-scope-type
796,2024,recall-screen,out-of-scope-type
803,2024,recall-screen,out-of-scope-type
808,2024,recall-screen,out-of-scope-type
810,2024,recall-screen,out-of-scope-type
813,2024,recall-screen,out-of-scope-type
822,2024,recall-screen,out-of-scope-type
823,2024,recall-screen,out-of-scope-type
825,2024,recall-screen,out-of-scope-type
831,2024,recall-screen,out-of-scope-type
833,2024,recall-screen,out-of-scope-type
837,2024,recall-screen,out-of-scope-type
840,2024,recall-screen,out-of-scope-type
842,2024,recall-screen,out-of-scope-type
847,2024,recall-screen,out-of-scope-type
849,2024,recall-screen,out-of-scope-type
860,2023,recall-screen,out-of-scope-type
864,2024,recall-screen,out-of-scope-type
868,2024,recall-screen,out-of-scope-type
869,2024,recall-screen,out-of-scope-type
870,2024,recall-screen,out-of-scope-type
883,2024,recall-screen,out-of-scope-type
889,2025,recall-screen,out-of-scope-type
890,2025,recall-screen,out-of-scope-type
925,2024,recall-screen,out-of-scope-type
932,2024,recall-screen,out-of-scope-type
934,2025,recall-screen,out-of-scope-type
939,2025,recall-screen,out-of-scope-type
950,2024,recall-screen,out-of-scope-type
957,2025,recall-screen,out-of-scope-type
961,2024,recall-screen,out-of-scope-type
971,2023,recall-screen,out-of-scope-type
979,2025,recall-screen,out-of-scope-type
991,2025,recall-screen,out-of-scope-type
994,2025,recall-screen,out-of-scope-type
997,2023,recall-screen,out-of-scope-type
1000,2025,recall-screen,out-of-scope-type
1046,2025,recall-screen,out-of-scope-type
1047,2025,recall-screen,out-of-scope-type
1050,2025,recall-screen,out-of-scope-type
1069,2025,recall-screen,out-of-scope-type
1080,2025,recall-screen,out-of-scope-type
1081,2025,recall-screen,out-of-scope-type
1082,2024,recall-screen,out-of-scope-type
1083,2025,recall-screen,out-of-scope-type
1090,2025,recall-screen,out-of-scope-type
1125,2025,recall-screen,out-of-scope-type
1128,2025,recall-screen,out-of-scope-type
1132,2025,recall-screen,out-of-scope-type
1159,2025,recall-screen,out-of-scope-type
